epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,16097.3,0.96965,0.43443,0.88177,0.88584,0.82273,0.86869,0.49983,1.48657,0.61245,1.13132,0.000416,0.000416,0.000416
122,16196.4,0.96371,0.43148,0.88108,0.88419,0.82904,0.87124,0.49952,1.48782,0.61391,1.12964,0.0004028,0.0004028,0.0004028
123,16242.6,0.96179,0.43,0.87815,0.88321,0.82634,0.86487,0.49882,1.48782,0.61485,1.1305,0.0003896,0.0003896,0.0003896
124,16347,0.94758,0.42474,0.87717,0.8766,0.83221,0.87144,0.50065,1.48522,0.61705,1.13583,0.0003764,0.0003764,0.0003764
125,16462.8,0.95058,0.42596,0.87774,0.88233,0.82621,0.87011,0.49852,1.4942,0.61526,1.13382,0.0003632,0.0003632,0.0003632
126,16504.6,0.94956,0.42323,0.87676,0.88078,0.83081,0.87118,0.50135,1.48247,0.61578,1.13192,0.00035,0.00035,0.00035
127,16543.1,0.95699,0.42913,0.87832,0.88265,0.82624,0.87009,0.49845,1.49068,0.61814,1.13213,0.0003368,0.0003368,0.0003368
128,16673.2,0.94875,0.42541,0.87789,0.883,0.82802,0.86488,0.49961,1.48614,0.61767,1.13576,0.0003236,0.0003236,0.0003236
129,16784.7,0.95291,0.42711,0.87748,0.88544,0.82624,0.86957,0.49798,1.49083,0.61535,1.13353,0.0003104,0.0003104,0.0003104
130,16986.1,0.94658,0.42418,0.87365,0.88522,0.8243,0.86922,0.49806,1.49388,0.61585,1.13504,0.0002972,0.0002972,0.0002972
131,17060.5,0.94512,0.42332,0.87273,0.88622,0.82344,0.86495,0.49788,1.49337,0.61464,1.13588,0.000284,0.000284,0.000284
132,17401.1,0.93942,0.42221,0.87357,0.88416,0.82838,0.87051,0.49936,1.48927,0.61826,1.13637,0.0002708,0.0002708,0.0002708
133,17656.7,0.94079,0.42224,0.87409,0.88747,0.82674,0.87122,0.49976,1.48717,0.61222,1.13376,0.0002576,0.0002576,0.0002576
134,17742.6,0.93816,0.42052,0.87282,0.88473,0.827,0.86544,0.50002,1.48722,0.61538,1.13585,0.0002444,0.0002444,0.0002444
135,17790.9,0.93303,0.41928,0.87413,0.88371,0.82763,0.86506,0.49722,1.49436,0.61812,1.13658,0.0002312,0.0002312,0.0002312
136,17905.7,0.93438,0.41952,0.87467,0.88594,0.82713,0.87094,0.50023,1.48826,0.61263,1.13487,0.000218,0.000218,0.000218
137,18033.3,0.92764,0.4156,0.87221,0.88671,0.82496,0.87046,0.49966,1.48778,0.61667,1.13501,0.0002048,0.0002048,0.0002048
138,18159.6,0.92799,0.41549,0.87167,0.88503,0.82789,0.8645,0.49903,1.48701,0.61639,1.13701,0.0001916,0.0001916,0.0001916
139,18257.4,0.92545,0.41555,0.87072,0.88451,0.82771,0.86518,0.49963,1.48768,0.61295,1.13549,0.0001784,0.0001784,0.0001784
